status,config_key,units,optimizer,learning_rate,dropout,l2,batch_size,epochs_run,best_epoch,training_seconds,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,error
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""Adam"", ""units"": [256, 128, 64]}",256-128-64,Adam,0.001,0.3,1e-05,512,67,55,73.42563159996644,0.8579335793357934,0.8227306273062731,0.7886247877758913,0.8053167665968359,0.9376639081455354,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""Adam"", ""units"": [256, 128, 64]}",256-128-64,Adam,0.0005,0.3,1e-05,512,115,103,112.9980240999721,0.8580917237743806,0.8245327795906259,0.7865025466893039,0.8050687907313541,0.9369952530175456,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""AdamW"", ""units"": [256, 128, 64]}",256-128-64,AdamW,0.001,0.3,1e-05,512,67,55,69.52644490008242,0.8579335793357934,0.8227306273062731,0.7886247877758913,0.8053167665968359,0.9376639081455354,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""AdamW"", ""units"": [256, 128, 64]}",256-128-64,AdamW,0.0005,0.3,1e-05,512,115,103,116.81106840004213,0.8580917237743806,0.8245327795906259,0.7865025466893039,0.8050687907313541,0.9369952530175456,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""Nadam"", ""units"": [256, 128, 64]}",256-128-64,Nadam,0.001,0.3,1e-05,512,56,44,59.57703009992838,0.8614654717975752,0.8286941071957359,0.7918788907753254,0.8098683258573289,0.9374708998701621,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""Nadam"", ""units"": [256, 128, 64]}",256-128-64,Nadam,0.0005,0.3,1e-05,512,120,108,117.30518060014583,0.8593568792830786,0.8272835465635228,0.7867855121675156,0.8065264684554024,0.936994153441561,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.001, ""optimizer"": ""RMSprop"", ""units"": [256, 128, 64]}",256-128-64,RMSprop,0.001,0.3,1e-05,512,138,126,126.74228420015424,0.8605693199789141,0.8267100014773231,0.7917374080362196,0.8088458480884585,0.9374429112036167,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.0005, ""optimizer"": ""RMSprop"", ""units"": [256, 128, 64]}",256-128-64,RMSprop,0.0005,0.3,1e-05,512,123,111,115.7332473997958,0.858777016341592,0.8260288218689645,0.7866440294284097,0.8058554967751287,0.9368307148446895,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.01, ""optimizer"": ""SGD"", ""units"": [256, 128, 64]}",256-128-64,SGD,0.01,0.3,1e-05,512,149,137,131.84571190015413,0.8577227200843437,0.8242541190440849,0.7856536502546689,0.804491126403477,0.9356631434587901,
ok,"{""activation"": ""relu"", ""batch_norm"": false, ""batch_size"": 512, ""dropout"": 0.3, ""l2"": 1e-05, ""learning_rate"": 0.005, ""optimizer"": ""SGD"", ""units"": [256, 128, 64]}",256-128-64,SGD,0.005,0.3,1e-05,512,150,150,135.88337130006403,0.854454401686874,0.8203183102781496,0.7802773061686474,0.7997969690377783,0.932920462165219,
