threshold,accuracy,precision,recall,f1,roc_auc,tn,fp,fn,tp
0.2,0.7867158671586716,0.6496335908100614,0.9281267685342388,0.764301526272865,0.9276296056542503,8364,3538,508,6560
0.201,0.7870848708487085,0.6502331117944649,0.9274193548387096,0.7644760627441833,0.9276296056542503,8376,3526,513,6555
0.202,0.7878755930416447,0.6512922465208748,0.9269949066213922,0.765063054647361,0.9276296056542503,8394,3508,516,6552
0.203,0.788666315234581,0.6522648083623693,0.9269949066213922,0.7657336527785894,0.9276296056542503,8409,3493,516,6552
0.204,0.7891407485503427,0.6529106858054227,0.9267119411431806,0.7660818713450293,0.9276296056542503,8420,3482,518,6550
0.205,0.7896151818661044,0.653558239345244,0.9264289756649688,0.7664306197694154,0.9276296056542503,8431,3471,520,6548
0.206,0.7899314707432789,0.6541345865413458,0.9255800792303339,0.7665358251801512,0.9276296056542503,8443,3459,526,6542
0.207,0.7906167633104902,0.6551724137931034,0.9247311827956989,0.7669561135883596,0.9276296056542503,8462,3440,532,6536
0.208,0.7909857670005271,0.6557261868914985,0.9243067345783814,0.7671892431448535,0.9276296056542503,8472,3430,535,6533
0.209,0.7916183447548761,0.6565483968238014,0.9241652518392756,0.7677028853499441,0.9276296056542503,8485,3417,536,6532
0.21,0.7918292040063257,0.6569387138975546,0.9235993208828522,0.7677741840635107,0.9276296056542503,8493,3409,540,6528
0.211,0.7921454928835002,0.657494204213285,0.9228919071873232,0.7679086467714403,0.9276296056542503,8504,3398,545,6523
0.212,0.7925672113863996,0.6581524482584553,0.9223259762308998,0.7681611971955459,0.9276296056542503,8516,3386,549,6519
0.213,0.7929889298892989,0.6587486101283736,0.9220430107526881,0.7684688402806439,0.9276296056542503,8526,3376,551,6517
0.214,0.7931470743278861,0.6590127452963788,0.9217600452744765,0.7685501946443317,0.9276296056542503,8531,3371,553,6515
0.215,0.7937796520822351,0.6599108228617754,0.9213355970571591,0.7690127538970241,0.9276296056542503,8546,3356,556,6512
